case_uid,mat_id,event,anotator,zdroj_reseni,dimenze,poradi,hodnota
exp16,16,k2_final351_06_25,A1,AI,vhodnost,1,0
exp16,16,k2_final351_06_25,A1,AI,reaktivni,1,-1
exp16,16,k2_final351_06_25,A1,AI,systemove,1,2
exp16,16,k2_final351_06_25,A1,AI,humanisticke,1,1
exp16,16,k2_final351_06_25,A8,AI,vhodnost,1,1
exp16,16,k2_final351_06_25,A8,AI,reaktivni,1,-1
exp16,16,k2_final351_06_25,A8,AI,systemove,1,1
exp16,16,k2_final351_06_25,A8,AI,humanisticke,1,1
exp16,16,k2_final351_06_25,A2,AI,vhodnost,1,1
exp16,16,k2_final351_06_25,A2,AI,reaktivni,1,-1
exp16,16,k2_final351_06_25,A2,AI,systemove,1,2
exp16,16,k2_final351_06_25,A2,AI,humanisticke,1,0
exp16,16,k2_final351_06_25,A12,ucitel,vhodnost,1,-1
exp16,16,k2_final351_06_25,A12,ucitel,reaktivni,1,-1
exp16,16,k2_final351_06_25,A12,ucitel,systemove,1,2
exp16,16,k2_final351_06_25,A12,ucitel,humanisticke,1,1
exp16,16,k2_final351_06_25,A1,ucitel,vhodnost,1,-1
exp16,16,k2_final351_06_25,A1,ucitel,reaktivni,1,-2
exp16,16,k2_final351_06_25,A1,ucitel,systemove,1,2
exp16,16,k2_final351_06_25,A1,ucitel,humanisticke,1,2
exp16,16,k2_final351_06_25,A8,ucitel,vhodnost,1,-1
exp16,16,k2_final351_06_25,A8,ucitel,reaktivni,1,-2
exp16,16,k2_final351_06_25,A8,ucitel,systemove,1,2
exp16,16,k2_final351_06_25,A8,ucitel,humanisticke,1,2
exp16,16,k2_final351_06_25,A2,ucitel,vhodnost,1,-1
exp16,16,k2_final351_06_25,A2,ucitel,reaktivni,1,-2
exp16,16,k2_final351_06_25,A2,ucitel,systemove,1,2
exp16,16,k2_final351_06_25,A2,ucitel,humanisticke,1,1
exp28,19,k2_final351_06_25,A12,AI,vhodnost,1,2
exp28,19,k2_final351_06_25,A12,AI,reaktivni,1,1
exp28,19,k2_final351_06_25,A12,AI,systemove,1,1
exp28,19,k2_final351_06_25,A12,AI,humanisticke,1,-1
exp28,19,k2_final351_06_25,A1,AI,vhodnost,1,2
exp28,19,k2_final351_06_25,A1,AI,reaktivni,1,1
exp28,19,k2_final351_06_25,A1,AI,systemove,1,1
exp28,19,k2_final351_06_25,A1,AI,humanisticke,1,-1
exp28,19,k2_final351_06_25,A9,AI,vhodnost,1,2
exp28,19,k2_final351_06_25,A9,AI,reaktivni,1,1
exp28,19,k2_final351_06_25,A9,AI,systemove,1,2
exp28,19,k2_final351_06_25,A9,AI,humanisticke,1,-2
exp28,19,k2_final351_06_25,A8,AI,vhodnost,1,1
exp28,19,k2_final351_06_25,A8,AI,reaktivni,1,1
exp28,19,k2_final351_06_25,A8,AI,systemove,1,2
exp28,19,k2_final351_06_25,A8,AI,humanisticke,1,-1
exp28,19,k2_final351_06_25,A2,AI,vhodnost,1,2
exp28,19,k2_final351_06_25,A2,AI,reaktivni,1,1
exp28,19,k2_final351_06_25,A2,AI,systemove,1,1
exp28,19,k2_final351_06_25,A2,AI,humanisticke,1,-1
exp28,19,k2_final351_06_25,A12,ucitel,vhodnost,1,1
exp28,19,k2_final351_06_25,A12,ucitel,reaktivni,1,-2
exp28,19,k2_final351_06_25,A12,ucitel,systemove,1,2
exp28,19,k2_final351_06_25,A12,ucitel,humanisticke,1,1
exp28,19,k2_final351_06_25,A1,ucitel,vhodnost,1,1
exp28,19,k2_final351_06_25,A1,ucitel,reaktivni,1,-1
exp28,19,k2_final351_06_25,A1,ucitel,systemove,1,2
exp28,19,k2_final351_06_25,A1,ucitel,humanisticke,1,1
exp28,19,k2_final351_06_25,A8,ucitel,vhodnost,1,1
exp28,19,k2_final351_06_25,A8,ucitel,reaktivni,1,-1
exp28,19,k2_final351_06_25,A8,ucitel,systemove,1,1
exp28,19,k2_final351_06_25,A8,ucitel,humanisticke,1,1
exp28,19,k2_final351_06_25,A2,ucitel,vhodnost,1,1
exp28,19,k2_final351_06_25,A2,ucitel,reaktivni,1,0
exp28,19,k2_final351_06_25,A2,ucitel,systemove,1,1
exp28,19,k2_final351_06_25,A2,ucitel,humanisticke,1,0
exp23,25,k2_final351_06_25,A12,AI,vhodnost,1,2
exp23,25,k2_final351_06_25,A12,AI,reaktivni,1,2
exp23,25,k2_final351_06_25,A12,AI,systemove,1,-1
exp23,25,k2_final351_06_25,A12,AI,humanisticke,1,-1
exp23,25,k2_final351_06_25,A1,AI,vhodnost,1,1
exp23,25,k2_final351_06_25,A1,AI,reaktivni,1,1
exp23,25,k2_final351_06_25,A1,AI,systemove,1,0
exp23,25,k2_final351_06_25,A1,AI,humanisticke,1,0
exp23,25,k2_final351_06_25,A10,AI,vhodnost,1,2
exp23,25,k2_final351_06_25,A10,AI,reaktivni,1,1
exp23,25,k2_final351_06_25,A10,AI,systemove,1,-1
exp23,25,k2_final351_06_25,A10,AI,humanisticke,1,1
exp23,25,k2_final351_06_25,A9,AI,vhodnost,1,2
exp23,25,k2_final351_06_25,A9,AI,reaktivni,1,2
exp23,25,k2_final351_06_25,A9,AI,systemove,1,1
exp23,25,k2_final351_06_25,A9,AI,humanisticke,1,-1
exp23,25,k2_final351_06_25,A8,AI,vhodnost,1,1
exp23,25,k2_final351_06_25,A8,AI,reaktivni,1,2
exp23,25,k2_final351_06_25,A8,AI,systemove,1,-1
exp23,25,k2_final351_06_25,A8,AI,humanisticke,1,-1
exp23,25,k2_final351_06_25,A2,AI,vhodnost,1,2
exp23,25,k2_final351_06_25,A2,AI,reaktivni,1,2
exp23,25,k2_final351_06_25,A2,AI,systemove,1,-1
exp23,25,k2_final351_06_25,A2,AI,humanisticke,1,-1
exp23,25,k2_final351_06_25,A12,ucitel,vhodnost,1,2
exp23,25,k2_final351_06_25,A12,ucitel,reaktivni,1,2
exp23,25,k2_final351_06_25,A12,ucitel,systemove,1,-1
exp23,25,k2_final351_06_25,A12,ucitel,humanisticke,1,-1
exp23,25,k2_final351_06_25,A1,ucitel,vhodnost,1,0
exp23,25,k2_final351_06_25,A1,ucitel,reaktivni,1,1
exp23,25,k2_final351_06_25,A1,ucitel,systemove,1,-1
exp23,25,k2_final351_06_25,A1,ucitel,humanisticke,1,1
exp23,25,k2_final351_06_25,A10,ucitel,vhodnost,1,2
exp23,25,k2_final351_06_25,A10,ucitel,reaktivni,1,1
exp23,25,k2_final351_06_25,A10,ucitel,systemove,1,-1
exp23,25,k2_final351_06_25,A10,ucitel,humanisticke,1,1
exp23,25,k2_final351_06_25,A9,ucitel,vhodnost,1,1
exp23,25,k2_final351_06_25,A9,ucitel,reaktivni,1,1
exp23,25,k2_final351_06_25,A9,ucitel,systemove,1,-2
exp23,25,k2_final351_06_25,A9,ucitel,humanisticke,1,2
exp23,25,k2_final351_06_25,A8,ucitel,vhodnost,1,0
exp23,25,k2_final351_06_25,A8,ucitel,reaktivni,1,1
exp23,25,k2_final351_06_25,A8,ucitel,systemove,1,-1
exp23,25,k2_final351_06_25,A8,ucitel,humanisticke,1,1
exp23,25,k2_final351_06_25,A2,ucitel,vhodnost,1,2
exp23,25,k2_final351_06_25,A2,ucitel,reaktivni,1,2
exp23,25,k2_final351_06_25,A2,ucitel,systemove,1,-1
exp23,25,k2_final351_06_25,A2,ucitel,humanisticke,1,-1
exp21,30,k2_final351_06_25,A12,AI,vhodnost,1,2
exp21,30,k2_final351_06_25,A12,AI,reaktivni,1,1
exp21,30,k2_final351_06_25,A12,AI,systemove,1,1
exp21,30,k2_final351_06_25,A12,AI,humanisticke,1,-1
exp21,30,k2_final351_06_25,A1,AI,vhodnost,1,2
exp21,30,k2_final351_06_25,A1,AI,reaktivni,1,1
